stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
qtp,p,0.200000,V,5.400000,-5.900000,0.200000,onboard,6,0.023415761,0.023401543,0.001100119,0.000759097,0.001814718
qtp,p,0.220000,V,5.400000,-5.900000,0.220000,onboard,6,0.023339586,0.023287125,0.000873684,0.000790199,0.002228111
qtp,p,0.240000,V,5.400000,-5.900000,0.240000,onboard,6,0.023245623,0.023050716,0.000867935,0.000792663,0.002240905
qtp,p,0.260000,V,5.400000,-5.900000,0.260000,onboard,6,0.023106651,0.022926057,0.000796167,0.000792887,0.002209734
qtp,p,0.280000,V,5.400000,-5.900000,0.280000,onboard,6,0.022917144,0.022884199,0.000819234,0.000770645,0.002189304
qtp,p,0.300000,V,5.400000,-5.900000,0.300000,onboard,6,0.022768861,0.022813974,0.000808085,0.000711794,0.002167399
qtp,p,0.320000,V,5.400000,-5.900000,0.320000,onboard,6,0.022622952,0.022682892,0.000823596,0.000724083,0.002130819
qtp,p,0.340000,V,5.400000,-5.900000,0.340000,onboard,6,0.022564361,0.022481790,0.000825033,0.000727229,0.002097782
qtp,p,0.360000,V,5.400000,-5.900000,0.360000,onboard,6,0.022430999,0.022342568,0.000756454,0.000731451,0.002062927
qtp,p,0.380000,V,5.400000,-5.900000,0.380000,onboard,6,0.022207370,0.022258306,0.000748905,0.000687380,0.002029442
qtp,p,0.400000,V,5.400000,-5.900000,0.400000,onboard,6,0.022054384,0.022174159,0.000754059,0.000642203,0.001992325
qtp,p,0.420000,V,5.400000,-5.900000,0.420000,onboard,6,0.021904746,0.022036619,0.000741454,0.000657158,0.001952411
qtp,p,0.440000,V,5.400000,-5.900000,0.440000,onboard,6,0.021841636,0.021846889,0.000743445,0.000662484,0.001920482
qtp,p,0.460000,V,5.400000,-5.900000,0.460000,onboard,6,0.021691570,0.021706814,0.000694288,0.000655754,0.001880683
qtp,p,0.480000,V,5.400000,-5.900000,0.480000,onboard,6,0.021463936,0.021623323,0.000644421,0.000641748,0.001851657
qtp,p,0.500000,V,5.400000,-5.900000,0.500000,onboard,6,0.021318672,0.021564806,0.000677382,0.000582210,0.001827493
qtp,p,0.520000,V,5.400000,-5.900000,0.520000,onboard,6,0.021169866,0.021427616,0.000660852,0.000592725,0.001800440
qtp,p,0.540000,V,5.400000,-5.900000,0.540000,onboard,6,0.021077512,0.021221863,0.000667831,0.000579359,0.001777603
qtp,p,0.560000,V,5.400000,-5.900000,0.560000,onboard,6,0.020968677,0.021106241,0.000612135,0.000584676,0.001766113
qtp,p,0.580000,V,5.400000,-5.900000,0.580000,onboard,6,0.020729769,0.020996844,0.000612569,0.000547808,0.001753991
qtp,p,0.600000,V,5.400000,-5.900000,0.600000,onboard,6,0.020560592,0.020908078,0.000591657,0.000502775,0.001730641
qtp,p,0.620000,V,5.400000,-5.900000,0.620000,onboard,6,0.020411702,0.020782441,0.000579818,0.000516169,0.001704936
qtp,p,0.640000,V,5.400000,-5.900000,0.640000,onboard,6,0.020346856,0.020601261,0.000597819,0.000510048,0.001673220
qtp,p,0.660000,V,5.400000,-5.900000,0.660000,onboard,6,0.020195914,0.020446369,0.000525479,0.000518338,0.001627604
qtp,p,0.680000,V,5.400000,-5.900000,0.680000,onboard,6,0.019948738,0.020333048,0.000489666,0.000481092,0.001584344
qtp,p,0.700000,V,5.400000,-5.900000,0.700000,onboard,6,0.019804673,0.020268874,0.000505512,0.000436595,0.001552721
qtp,p,0.720000,V,5.400000,-5.900000,0.720000,onboard,6,0.019674495,0.020149747,0.000479524,0.000444090,0.001525367
qtp,p,0.740000,V,5.400000,-5.900000,0.740000,onboard,6,0.019582542,0.019957835,0.000492096,0.000435979,0.001494025
qtp,p,0.760000,V,5.400000,-5.900000,0.760000,onboard,6,0.019427335,0.019819582,0.000435464,0.000433097,0.001459837
qtp,p,0.780000,V,5.400000,-5.900000,0.780000,onboard,6,0.019217947,0.019730890,0.000397361,0.000415904,0.001428791
qtp,p,0.800000,V,5.400000,-5.900000,0.800000,onboard,6,0.019038497,0.019636154,0.000402464,0.000361504,0.001396652
qtp,p,0.820000,V,5.400000,-5.900000,0.820000,onboard,6,0.018908618,0.019511385,0.000391882,0.000374019,0.001375211
qtp,p,0.840000,V,5.400000,-5.900000,0.840000,onboard,6,0.018825823,0.019342987,0.000386322,0.000367781,0.001356757
qtp,p,0.860000,V,5.400000,-5.900000,0.860000,onboard,6,0.018673973,0.019189360,0.000323032,0.000375591,0.001325482
qtp,p,0.880000,V,5.400000,-5.900000,0.880000,onboard,6,0.018434478,0.019071883,0.000276558,0.000342474,0.001294247
qtp,p,0.900000,V,5.400000,-5.900000,0.900000,onboard,6,0.018268319,0.018985672,0.000298640,0.000287485,0.001263153
qtp,p,0.920000,V,5.400000,-5.900000,0.920000,onboard,6,0.018136865,0.018869950,0.000287023,0.000301966,0.001235149
qtp,p,0.940000,V,5.400000,-5.900000,0.940000,onboard,6,0.018059950,0.018681509,0.000284217,0.000289671,0.001206881
qtp,p,0.960000,V,5.400000,-5.900000,0.960000,onboard,6,0.017936187,0.018572077,0.000237754,0.000298016,0.001184862
qtp,p,0.980000,V,5.400000,-5.900000,0.980000,onboard,6,0.017709192,0.018475711,0.000217698,0.000256023,0.001150201
qtp,p,1.000000,V,5.400000,-5.900000,1.000000,onboard,6,0.017534146,0.018373979,0.000206087,0.000218395,0.001123271
qtp,p,1.020000,V,5.400000,-5.900000,1.020000,onboard,6,0.017395161,0.018244183,0.000195186,0.000229628,0.001089149
qtp,p,1.040000,V,5.400000,-5.900000,1.040000,onboard,6,0.017301446,0.018059501,0.000201515,0.000215736,0.001061427
qtp,p,1.060000,V,5.400000,-5.900000,1.060000,onboard,6,0.017182162,0.017935690,0.000150083,0.000215640,0.001034355
