stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
qtp,p,0.200000,V,5.640000,-6.240000,0.200000,onboard,6,0.007288715,0.009799440,0.000763037,0.000657477,-0.001439652
qtp,p,0.220000,V,5.640000,-6.240000,0.220000,onboard,6,0.007294526,0.009762683,0.000738687,0.000655378,-0.001432579
qtp,p,0.240000,V,5.640000,-6.240000,0.240000,onboard,6,0.007268869,0.009765605,0.000753593,0.000619381,-0.001441325
qtp,p,0.260000,V,5.640000,-6.240000,0.260000,onboard,6,0.007243060,0.009770091,0.000697920,0.000625013,-0.001463778
qtp,p,0.280000,V,5.640000,-6.240000,0.280000,onboard,6,0.007233459,0.009741100,0.000688147,0.000605626,-0.001474607
qtp,p,0.300000,V,5.640000,-6.240000,0.300000,onboard,6,0.007198248,0.009747964,0.000678481,0.000595569,-0.001468230
qtp,p,0.320000,V,5.640000,-6.240000,0.320000,onboard,6,0.007194812,0.009718263,0.000659898,0.000589531,-0.001446197
qtp,p,0.340000,V,5.640000,-6.240000,0.340000,onboard,6,0.007160524,0.009715798,0.000670366,0.000555127,-0.001435659
qtp,p,0.360000,V,5.640000,-6.240000,0.360000,onboard,6,0.007133105,0.009708595,0.000616192,0.000550772,-0.001457015
qtp,p,0.380000,V,5.640000,-6.240000,0.380000,onboard,6,0.007126939,0.009678557,0.000608332,0.000537010,-0.001465777
qtp,p,0.400000,V,5.640000,-6.240000,0.400000,onboard,6,0.007081793,0.009705503,0.000600172,0.000524121,-0.001453505
qtp,p,0.420000,V,5.640000,-6.240000,0.420000,onboard,6,0.007070255,0.009654713,0.000579207,0.000514353,-0.001444144
qtp,p,0.440000,V,5.640000,-6.240000,0.440000,onboard,6,0.007058145,0.009668099,0.000592986,0.000482212,-0.001446086
qtp,p,0.460000,V,5.640000,-6.240000,0.460000,onboard,6,0.007021414,0.009658650,0.000537682,0.000481748,-0.001451753
