stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
mitp,i,4.640000,V,4.640000,-6.240000,1.100000,onboard,6,0.029392993,0.014795191,0.000859814,0.000102839,0.043969478
mitp,i,4.660000,V,4.660000,-6.240000,1.100000,onboard,6,0.028919769,0.014778982,0.000170532,0.000117760,0.045083959
mitp,i,4.680000,V,4.680000,-6.240000,1.100000,onboard,6,0.028062051,0.014864988,0.000134508,0.000105624,0.044968382
mitp,i,4.700000,V,4.700000,-6.240000,1.100000,onboard,6,0.027233226,0.014951191,0.000115678,0.000123349,0.044714972
mitp,i,4.720000,V,4.720000,-6.240000,1.100000,onboard,6,0.026433185,0.014906444,0.000149923,0.000073324,0.044430215
mitp,i,4.740000,V,4.740000,-6.240000,1.100000,onboard,6,0.025489019,0.015057796,0.000113664,0.000123683,0.044132218
mitp,i,4.760000,V,4.760000,-6.240000,1.100000,onboard,6,0.024643598,0.015007542,0.000179476,0.000095949,0.043846801
mitp,i,4.780000,V,4.780000,-6.240000,1.100000,onboard,6,0.023769319,0.015092927,0.000136035,0.000093963,0.043573972
mitp,i,4.800000,V,4.800000,-6.240000,1.100000,onboard,6,0.022997761,0.015172708,0.000115843,0.000107723,0.043350350
mitp,i,4.820000,V,4.820000,-6.240000,1.100000,onboard,6,0.022131985,0.015150541,0.000123934,0.000063710,0.043121103
mitp,i,4.840000,V,4.840000,-6.240000,1.100000,onboard,6,0.021199098,0.015262394,0.000140644,0.000094473,0.042867128
mitp,i,4.860000,V,4.860000,-6.240000,1.100000,onboard,6,0.020376727,0.015221969,0.000151705,0.000066712,0.042616028
mitp,i,4.880000,V,4.880000,-6.240000,1.100000,onboard,6,0.019516600,0.015309721,0.000097282,0.000075994,0.042421490
mitp,i,4.900000,V,4.900000,-6.240000,1.100000,onboard,6,0.018610543,0.015368089,0.000168025,0.000089384,0.042203471
mitp,i,4.920000,V,4.920000,-6.240000,1.100000,onboard,6,0.017763125,0.015315074,0.000134423,0.000051620,0.041974992
mitp,i,4.940000,V,4.940000,-6.240000,1.100000,onboard,6,0.016857000,0.015410216,0.000075943,0.000079988,0.041759595
mitp,i,4.960000,V,4.960000,-6.240000,1.100000,onboard,6,0.016097233,0.015402404,0.000100896,0.000060306,0.041601822
mitp,i,4.980000,V,4.980000,-6.240000,1.100000,onboard,6,0.015164360,0.015453975,0.000155061,0.000052436,0.041438054
mitp,i,5.000000,V,5.000000,-6.240000,1.100000,onboard,6,0.014274064,0.015503985,0.000124011,0.000075493,0.041264370
mitp,i,5.020000,V,5.020000,-6.240000,1.100000,onboard,6,0.013423149,0.015466776,0.000106229,0.000034391,0.041102849
mitp,i,5.039999,V,5.039999,-6.240000,1.100000,onboard,6,0.012455144,0.015547303,0.000116938,0.000061648,0.040953051
mitp,i,5.059999,V,5.059999,-6.240000,1.100000,onboard,6,0.011588585,0.015514668,0.000122668,0.000048474,0.040785700
mitp,i,5.079999,V,5.079999,-6.240000,1.100000,onboard,6,0.010675546,0.015563305,0.000138354,0.000037651,0.040656228
mitp,i,5.099999,V,5.099999,-6.240000,1.100000,onboard,6,0.009822093,0.015603304,0.000115311,0.000052555,0.040558774
mitp,i,5.119999,V,5.119999,-6.240000,1.100000,onboard,6,0.008974233,0.015587334,0.000086690,0.000021407,0.040455412
mitp,i,5.139999,V,5.139999,-6.240000,1.100000,onboard,6,0.008001326,0.015626211,0.000124085,0.000042913,0.040337678
mitp,i,5.159999,V,5.159999,-6.240000,1.100000,onboard,6,0.007159274,0.015618359,0.000098873,0.000028750,0.040263001
mitp,i,5.179999,V,5.179999,-6.240000,1.100000,onboard,6,0.006228153,0.015650213,0.000047471,0.000029631,0.040181488
mitp,i,5.199999,V,5.199999,-6.240000,1.100000,onboard,6,0.005329636,0.015672321,0.000098064,0.000041611,0.040114451
mitp,i,5.219999,V,5.219999,-6.240000,1.100000,onboard,6,0.004467126,0.015656896,0.000075292,0.000021603,0.040063776
mitp,i,5.239999,V,5.239999,-6.240000,1.100000,onboard,6,0.003531831,0.015675671,0.000057220,0.000024721,0.040008578
mitp,i,5.259999,V,5.259999,-6.240000,1.100000,onboard,6,0.002715521,0.015673619,0.000117369,0.000015501,0.039958362
mitp,i,5.279999,V,5.279999,-6.240000,1.100000,onboard,6,0.001789210,0.015685657,0.000054362,0.000031959,0.039933812
mitp,i,5.299999,V,5.299999,-6.240000,1.100000,onboard,6,0.000888376,0.015699601,0.000042586,0.000016814,0.039896902
mitp,i,5.319999,V,5.319999,-6.240000,1.100000,onboard,6,0.000217629,0.015700230,0.000078074,0.000021577,0.039895393
