stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
mitp,q,-7.240000,V,5.320000,-7.240000,1.100000,onboard,6,0.003110354,0.064358898,0.003821483,0.000364573,0.056683153
mitp,q,-7.220000,V,5.320000,-7.220000,1.100000,onboard,6,0.002487499,0.063175842,0.000324169,0.000127873,0.063723393
mitp,q,-7.200000,V,5.320000,-7.200000,1.100000,onboard,6,0.002425755,0.062543996,0.000177676,0.000129187,0.064024188
mitp,q,-7.180000,V,5.320000,-7.180000,1.100000,onboard,6,0.002441116,0.061750766,0.000333112,0.000120539,0.063509941
mitp,q,-7.160000,V,5.320000,-7.160000,1.100000,onboard,6,0.002451265,0.060972858,0.000127748,0.000139687,0.062836520
mitp,q,-7.140000,V,5.320000,-7.140000,1.100000,onboard,6,0.002465551,0.060080599,0.000231818,0.000103286,0.062174991
mitp,q,-7.120000,V,5.320000,-7.120000,1.100000,onboard,6,0.002495412,0.059207458,0.000302896,0.000111383,0.061503273
mitp,q,-7.100000,V,5.320000,-7.100000,1.100000,onboard,6,0.002527734,0.058290858,0.000179133,0.000122335,0.060815517
mitp,q,-7.080000,V,5.320000,-7.080000,1.100000,onboard,6,0.002537361,0.057646651,0.000277770,0.000102887,0.060169712
mitp,q,-7.060000,V,5.320000,-7.060000,1.100000,onboard,6,0.002567044,0.056795906,0.000103920,0.000123194,0.059528742
mitp,q,-7.040000,V,5.320000,-7.040000,1.100000,onboard,6,0.002584385,0.055927381,0.000224477,0.000097812,0.058881879
mitp,q,-7.020000,V,5.320000,-7.020000,1.100000,onboard,6,0.002626443,0.055089686,0.000197084,0.000112485,0.058263395
mitp,q,-7.000000,V,5.320000,-7.000000,1.100000,onboard,6,0.002649598,0.054151196,0.000127638,0.000112566,0.057610821
mitp,q,-6.980000,V,5.320000,-6.980000,1.100000,onboard,6,0.002663856,0.053325247,0.000234911,0.000097927,0.056975976
mitp,q,-6.960000,V,5.320000,-6.960000,1.100000,onboard,6,0.002694814,0.052372690,0.000097727,0.000104283,0.056391839
mitp,q,-6.940000,V,5.320000,-6.940000,1.100000,onboard,6,0.002713093,0.051558584,0.000177868,0.000088134,0.055812359
mitp,q,-6.920000,V,5.320000,-6.920000,1.100000,onboard,6,0.002736689,0.050805997,0.000229627,0.000091871,0.055230558
mitp,q,-6.900000,V,5.320000,-6.900000,1.100000,onboard,6,0.002753883,0.049877673,0.000132261,0.000107940,0.054639306
mitp,q,-6.880000,V,5.320000,-6.880000,1.100000,onboard,6,0.002766794,0.048990071,0.000226268,0.000086752,0.054056693
mitp,q,-6.860000,V,5.320000,-6.860000,1.100000,onboard,6,0.002811115,0.048158381,0.000168871,0.000094074,0.053514451
mitp,q,-6.840000,V,5.320000,-6.840000,1.100000,onboard,6,0.002808266,0.047230691,0.000207783,0.000075117,0.052930761
mitp,q,-6.820000,V,5.320000,-6.820000,1.100000,onboard,6,0.002835241,0.046336304,0.000155874,0.000090395,0.052381739
mitp,q,-6.800000,V,5.320000,-6.800000,1.100000,onboard,6,0.002863104,0.045299370,0.000087275,0.000087948,0.051839024
mitp,q,-6.780000,V,5.320000,-6.780000,1.100000,onboard,6,0.002868767,0.044508841,0.000167850,0.000082031,0.051316470
mitp,q,-6.760000,V,5.320000,-6.760000,1.100000,onboard,6,0.002892663,0.043649722,0.000172061,0.000094730,0.050787728
mitp,q,-6.740000,V,5.320000,-6.740000,1.100000,onboard,6,0.002905391,0.042741839,0.000185539,0.000074099,0.050277904
mitp,q,-6.720000,V,5.320000,-6.720000,1.100000,onboard,6,0.002928498,0.041842502,0.000135723,0.000081598,0.049811035
mitp,q,-6.700000,V,5.320000,-6.700000,1.100000,onboard,6,0.002950420,0.040902972,0.000078678,0.000083745,0.049332190
mitp,q,-6.680000,V,5.320000,-6.680000,1.100000,onboard,6,0.002957528,0.040024806,0.000152639,0.000074882,0.048852015
