stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
mitp,i,5.120000,V,5.120000,-5.840000,1.120000,onboard,6,0.000285570,0.005248267,0.000104223,0.000011678,0.039714392
mitp,i,5.130000,V,5.130000,-5.840000,1.120000,onboard,6,0.000279913,0.005244472,0.000059911,0.000010586,0.039597575
mitp,i,5.140000,V,5.140000,-5.840000,1.120000,onboard,6,0.000685559,0.005245353,0.000062005,0.000014401,0.039596081
mitp,i,5.150001,V,5.150001,-5.840000,1.120000,onboard,6,0.001125192,0.005244824,0.000105905,0.000011907,0.039589126
mitp,i,5.160001,V,5.160001,-5.840000,1.120000,onboard,6,0.001576513,0.005241875,0.000095665,0.000012486,0.039577890
mitp,i,5.170001,V,5.170001,-5.840000,1.120000,onboard,6,0.002022484,0.005245845,0.000068620,0.000012515,0.039584782
mitp,i,5.180001,V,5.180001,-5.840000,1.120000,onboard,6,0.002486119,0.005242363,0.000051164,0.000016361,0.039583381
mitp,i,5.190001,V,5.190001,-5.840000,1.120000,onboard,6,0.002954991,0.005237608,0.000098028,0.000014204,0.039618827
mitp,i,5.200002,V,5.200002,-5.840000,1.120000,onboard,6,0.003398016,0.005243562,0.000107437,0.000013983,0.039639995
mitp,i,5.210002,V,5.210002,-5.840000,1.120000,onboard,6,0.003844660,0.005237631,0.000130981,0.000019581,0.039659522
mitp,i,5.220002,V,5.220002,-5.840000,1.120000,onboard,6,0.004291415,0.005239581,0.000134425,0.000020351,0.039667670
mitp,i,5.230002,V,5.230002,-5.840000,1.120000,onboard,6,0.004735308,0.005230912,0.000127370,0.000024937,0.039691355
mitp,i,5.240003,V,5.240003,-5.840000,1.120000,onboard,6,0.005178077,0.005222952,0.000032140,0.000024877,0.039721414
mitp,i,5.250003,V,5.250003,-5.840000,1.120000,onboard,6,0.005618987,0.005215061,0.000062961,0.000026489,0.039749790
mitp,i,5.260003,V,5.260003,-5.840000,1.120000,onboard,6,0.006086223,0.005215120,0.000125559,0.000026139,0.039735928
mitp,i,5.270003,V,5.270003,-5.840000,1.120000,onboard,6,0.006542337,0.005211716,0.000123999,0.000035243,0.039760835
mitp,i,5.280004,V,5.280004,-5.840000,1.120000,onboard,6,0.007010736,0.005217653,0.000148087,0.000037432,0.039828401
mitp,i,5.290004,V,5.290004,-5.840000,1.120000,onboard,6,0.007464529,0.005213188,0.000159142,0.000029316,0.039870229
mitp,i,5.300004,V,5.300004,-5.840000,1.120000,onboard,6,0.007933069,0.005204324,0.000138650,0.000030335,0.039904814
mitp,i,5.310004,V,5.310004,-5.840000,1.120000,onboard,6,0.008399383,0.005214842,0.000112658,0.000035884,0.039954063
mitp,i,5.320004,V,5.320004,-5.840000,1.120000,onboard,6,0.008856191,0.005198828,0.000038962,0.000035807,0.039989565
mitp,i,5.330005,V,5.330005,-5.840000,1.120000,onboard,6,0.009308522,0.005187812,0.000080744,0.000035501,0.040017258
mitp,i,5.340005,V,5.340005,-5.840000,1.120000,onboard,6,0.009779721,0.005187582,0.000087285,0.000043440,0.040063497
mitp,i,5.350005,V,5.350005,-5.840000,1.120000,onboard,6,0.010248960,0.005184176,0.000103995,0.000044464,0.040151671
mitp,i,5.360005,V,5.360005,-5.840000,1.120000,onboard,6,0.010702028,0.005168962,0.000097767,0.000042360,0.040206019
mitp,i,5.370006,V,5.370006,-5.840000,1.120000,onboard,6,0.011124686,0.005167278,0.000074916,0.000050794,0.040246755
mitp,i,5.380006,V,5.380006,-5.840000,1.120000,onboard,6,0.011567299,0.005161261,0.000159521,0.000039146,0.040305447
mitp,i,5.390006,V,5.390006,-5.840000,1.120000,onboard,6,0.012011780,0.005150758,0.000155244,0.000050430,0.040375501
mitp,i,5.400006,V,5.400006,-5.840000,1.120000,onboard,6,0.012458980,0.005150173,0.000133183,0.000047170,0.040439758
mitp,i,5.410007,V,5.410007,-5.840000,1.120000,onboard,6,0.012914737,0.005137433,0.000112461,0.000049697,0.040506255
