stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
mitp,q,-6.020000,V,5.130000,-6.020000,1.120000,onboard,6,0.001771185,0.006158834,0.000251764,0.000036272,0.040414508
mitp,q,-6.010000,V,5.130000,-6.010000,1.120000,onboard,6,0.001815610,0.006429989,0.000063465,0.000041469,0.040034328
mitp,q,-6.000000,V,5.130000,-6.000000,1.120000,onboard,6,0.001836325,0.006719254,0.000080654,0.000040627,0.039996561
mitp,q,-5.989999,V,5.130000,-5.989999,1.120000,onboard,6,0.001850257,0.007029965,0.000103699,0.000036671,0.040013868
mitp,q,-5.979999,V,5.130000,-5.979999,1.120000,onboard,6,0.001849604,0.007352413,0.000073922,0.000043510,0.040027056
mitp,q,-5.969999,V,5.130000,-5.969999,1.120000,onboard,6,0.001829429,0.007677792,0.000060174,0.000046165,0.040033646
mitp,q,-5.959999,V,5.130000,-5.959999,1.120000,onboard,6,0.001841099,0.008021151,0.000069517,0.000043682,0.040042464
mitp,q,-5.949998,V,5.130000,-5.949998,1.120000,onboard,6,0.001856353,0.008363809,0.000125464,0.000043651,0.040091690
mitp,q,-5.939998,V,5.130000,-5.939998,1.120000,onboard,6,0.001874374,0.008701630,0.000166275,0.000045370,0.040117614
mitp,q,-5.929998,V,5.130000,-5.929998,1.120000,onboard,6,0.001861927,0.009076439,0.000074367,0.000059496,0.040165294
mitp,q,-5.919998,V,5.130000,-5.919998,1.120000,onboard,6,0.001833218,0.009452962,0.000052383,0.000050045,0.040205188
mitp,q,-5.909997,V,5.130000,-5.909997,1.120000,onboard,6,0.001835813,0.009807684,0.000136219,0.000044514,0.040211350
mitp,q,-5.899997,V,5.130000,-5.899997,1.120000,onboard,6,0.001855557,0.010179728,0.000114623,0.000040114,0.040271435
mitp,q,-5.889997,V,5.130000,-5.889997,1.120000,onboard,6,0.001878507,0.010553000,0.000106243,0.000052745,0.040328473
mitp,q,-5.879997,V,5.130000,-5.879997,1.120000,onboard,6,0.001877185,0.010914943,0.000084013,0.000058681,0.040393647
mitp,q,-5.869997,V,5.130000,-5.869997,1.120000,onboard,6,0.001847913,0.011282799,0.000155083,0.000053379,0.040451076
mitp,q,-5.859996,V,5.130000,-5.859996,1.120000,onboard,6,0.001848361,0.011632595,0.000106771,0.000044781,0.040487755
mitp,q,-5.849996,V,5.130000,-5.849996,1.120000,onboard,6,0.001883655,0.012006234,0.000089292,0.000039526,0.040552579
mitp,q,-5.839996,V,5.130000,-5.839996,1.120000,onboard,6,0.001904964,0.012413643,0.000169739,0.000052252,0.040608741
mitp,q,-5.829996,V,5.130000,-5.829996,1.120000,onboard,6,0.001884409,0.012817635,0.000109368,0.000061715,0.040690400
mitp,q,-5.819995,V,5.130000,-5.819995,1.120000,onboard,6,0.001844939,0.013206896,0.000058958,0.000054123,0.040762898
mitp,q,-5.809995,V,5.130000,-5.809995,1.120000,onboard,6,0.001854006,0.013589124,0.000075338,0.000049462,0.040820293
mitp,q,-5.799995,V,5.130000,-5.799995,1.120000,onboard,6,0.001888307,0.013976243,0.000099164,0.000048110,0.040874001
mitp,q,-5.789995,V,5.130000,-5.789995,1.120000,onboard,6,0.001908272,0.014390044,0.000106153,0.000056301,0.040935051
mitp,q,-5.779994,V,5.130000,-5.779994,1.120000,onboard,6,0.001882988,0.014782901,0.000138896,0.000062061,0.041015845
mitp,q,-5.769994,V,5.130000,-5.769994,1.120000,onboard,6,0.001847272,0.015198012,0.000121345,0.000059790,0.041083820
mitp,q,-5.759994,V,5.130000,-5.759994,1.120000,onboard,6,0.001859162,0.015600767,0.000119818,0.000055687,0.041184869
mitp,q,-5.749994,V,5.130000,-5.749994,1.120000,onboard,6,0.001896960,0.015996279,0.000092648,0.000051236,0.041254323
mitp,q,-5.739994,V,5.130000,-5.739994,1.120000,onboard,6,0.001914025,0.016419152,0.000098409,0.000058586,0.041339595
mitp,q,-5.729993,V,5.130000,-5.729993,1.120000,onboard,6,0.001882692,0.016816743,0.000127272,0.000069907,0.041436251
mitp,q,-5.719993,V,5.130000,-5.719993,1.120000,onboard,6,0.001849702,0.017210549,0.000110953,0.000067963,0.041545648
mitp,q,-5.709993,V,5.130000,-5.709993,1.120000,onboard,6,0.001856174,0.017594293,0.000096632,0.000055101,0.041639473
mitp,q,-5.699993,V,5.130000,-5.699993,1.120000,onboard,6,0.001895531,0.017983507,0.000125935,0.000055541,0.041718926
mitp,q,-5.689992,V,5.130000,-5.689992,1.120000,onboard,6,0.001915336,0.018368000,0.000153499,0.000058434,0.041783754
mitp,q,-5.679992,V,5.130000,-5.679992,1.120000,onboard,6,0.001885748,0.018827105,0.000108719,0.000076147,0.041895416
mitp,q,-5.669992,V,5.130000,-5.669992,1.120000,onboard,6,0.001851310,0.019254550,0.000083803,0.000073817,0.042022526
mitp,q,-5.659992,V,5.130000,-5.659992,1.120000,onboard,6,0.001856133,0.019675927,0.000107647,0.000066107,0.042138189
mitp,q,-5.649992,V,5.130000,-5.649992,1.120000,onboard,6,0.001905578,0.020077059,0.000178140,0.000061847,0.042258304
mitp,q,-5.639991,V,5.130000,-5.639991,1.120000,onboard,6,0.001934312,0.020493899,0.000167297,0.000060959,0.042359259
mitp,q,-5.629991,V,5.130000,-5.629991,1.120000,onboard,6,0.001891708,0.020917630,0.000072467,0.000078639,0.042470653
