stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
qtp,p,0.060000,V,5.130000,-6.020000,0.060000,onboard,6,0.006478388,0.013299433,0.001579239,0.000632165,0.036825527
qtp,p,0.070000,V,5.130000,-6.020000,0.070000,onboard,6,0.006570866,0.013330596,0.000693123,0.000696511,0.035039637
qtp,p,0.080000,V,5.130000,-6.020000,0.080000,onboard,6,0.006556708,0.013357255,0.000770570,0.000697158,0.034870837
qtp,p,0.090000,V,5.130000,-6.020000,0.090000,onboard,6,0.006561516,0.013356929,0.000767620,0.000684834,0.034895018
qtp,p,0.100000,V,5.130000,-6.020000,0.100000,onboard,6,0.006557414,0.013357476,0.000704995,0.000675838,0.034931455
qtp,p,0.110000,V,5.130000,-6.020000,0.110000,onboard,6,0.006541064,0.013372536,0.000731172,0.000670304,0.034995154
qtp,p,0.120000,V,5.130000,-6.020000,0.120000,onboard,6,0.006484989,0.013373018,0.000716795,0.000668075,0.035060223
qtp,p,0.130000,V,5.130000,-6.020000,0.130000,onboard,6,0.006450661,0.013376527,0.000741083,0.000658823,0.035107311
qtp,p,0.140000,V,5.130000,-6.020000,0.140000,onboard,6,0.006447448,0.013377513,0.000705910,0.000657955,0.035144258
qtp,p,0.150000,V,5.130000,-6.020000,0.150000,onboard,6,0.006452341,0.013369206,0.000664952,0.000642397,0.035214305
qtp,p,0.160000,V,5.130000,-6.020000,0.160000,onboard,6,0.006426964,0.013383663,0.000715936,0.000641979,0.035250477
qtp,p,0.170000,V,5.130000,-6.020000,0.170000,onboard,6,0.006375707,0.013374691,0.000694007,0.000638777,0.035307262
qtp,p,0.180000,V,5.130000,-6.020000,0.180000,onboard,6,0.006338255,0.013387319,0.000678181,0.000628712,0.035367120
qtp,p,0.190000,V,5.130000,-6.020000,0.190000,onboard,6,0.006330681,0.013392474,0.000669684,0.000623062,0.035426918
qtp,p,0.200000,V,5.130000,-6.020000,0.200000,onboard,6,0.006333091,0.013389780,0.000655757,0.000611075,0.035478309
qtp,p,0.210000,V,5.130000,-6.020000,0.210000,onboard,6,0.006318513,0.013395515,0.000676078,0.000604472,0.035544105
qtp,p,0.220000,V,5.130000,-6.020000,0.220000,onboard,6,0.006248890,0.013381052,0.000644476,0.000599791,0.035584111
qtp,p,0.230000,V,5.130000,-6.020000,0.230000,onboard,6,0.006214305,0.013392287,0.000635282,0.000593469,0.035638221
qtp,p,0.240000,V,5.130000,-6.020000,0.240000,onboard,6,0.006219699,0.013402845,0.000631754,0.000579922,0.035710320
qtp,p,0.250000,V,5.130000,-6.020000,0.250000,onboard,6,0.006217615,0.013389505,0.000615251,0.000569085,0.035780564
qtp,p,0.260000,V,5.130000,-6.020000,0.260000,onboard,6,0.006188266,0.013400382,0.000622978,0.000579102,0.035830785
qtp,p,0.270000,V,5.130000,-6.020000,0.270000,onboard,6,0.006131779,0.013384060,0.000572762,0.000575825,0.035843540
qtp,p,0.280000,V,5.130000,-6.020000,0.280000,onboard,6,0.006096414,0.013403191,0.000614452,0.000558457,0.035916131
qtp,p,0.290000,V,5.130000,-6.020000,0.290000,onboard,6,0.006092870,0.013411053,0.000599745,0.000558839,0.035981145
qtp,p,0.300000,V,5.130000,-6.020000,0.300000,onboard,6,0.006094599,0.013401591,0.000567782,0.000538037,0.036029566
qtp,p,0.310000,V,5.130000,-6.020000,0.310000,onboard,6,0.006066935,0.013420281,0.000573537,0.000539523,0.036080912
qtp,p,0.320000,V,5.130000,-6.020000,0.320000,onboard,6,0.006009817,0.013413063,0.000551395,0.000531341,0.036146495
qtp,p,0.330000,V,5.130000,-6.020000,0.330000,onboard,6,0.005968769,0.013432208,0.000572413,0.000518136,0.036221862
qtp,p,0.340000,V,5.130000,-6.020000,0.340000,onboard,6,0.005954636,0.013422451,0.000561315,0.000516101,0.036261100
qtp,p,0.350000,V,5.130000,-6.020000,0.350000,onboard,6,0.005951766,0.013409331,0.000525241,0.000506876,0.036296967
qtp,p,0.360000,V,5.130000,-6.020000,0.360000,onboard,6,0.005943075,0.013434007,0.000528563,0.000504812,0.036369167
qtp,p,0.370000,V,5.130000,-6.020000,0.370000,onboard,6,0.005863795,0.013410411,0.000539533,0.000504462,0.036413271
qtp,p,0.380000,V,5.130000,-6.020000,0.380000,onboard,6,0.005839428,0.013437547,0.000553210,0.000496991,0.036480386
qtp,p,0.390000,V,5.130000,-6.020000,0.390000,onboard,6,0.005838752,0.013441156,0.000524843,0.000480518,0.036558859
qtp,p,0.400000,V,5.130000,-6.020000,0.400000,onboard,6,0.005829528,0.013418369,0.000476757,0.000472273,0.036602277
qtp,p,0.410000,V,5.130000,-6.020000,0.410000,onboard,6,0.005801362,0.013425951,0.000510259,0.000466194,0.036630463
qtp,p,0.420000,V,5.130000,-6.020000,0.420000,onboard,6,0.005744787,0.013422352,0.000488078,0.000467561,0.036693804
qtp,p,0.430000,V,5.130000,-6.020000,0.430000,onboard,6,0.005710822,0.013440069,0.000487428,0.000457111,0.036757603
qtp,p,0.440000,V,5.130000,-6.020000,0.440000,onboard,6,0.005704511,0.013448592,0.000473562,0.000455328,0.036812589
qtp,p,0.450000,V,5.130000,-6.020000,0.450000,onboard,6,0.005702709,0.013435011,0.000433339,0.000437931,0.036877017
qtp,p,0.460000,V,5.130000,-6.020000,0.460000,onboard,6,0.005670998,0.013449174,0.000496292,0.000436139,0.036924172
qtp,p,0.470000,V,5.130000,-6.020000,0.470000,onboard,6,0.005609019,0.013438885,0.000459191,0.000430623,0.036973972
qtp,p,0.480000,V,5.130000,-6.020000,0.480000,onboard,6,0.005568558,0.013452752,0.000461660,0.000426460,0.037014797
qtp,p,0.490000,V,5.130000,-6.020000,0.490000,onboard,6,0.005558255,0.013449370,0.000430053,0.000412457,0.037070841
qtp,p,0.500000,V,5.130000,-6.020000,0.500000,onboard,6,0.005554954,0.013444949,0.000411106,0.000409531,0.037142828
qtp,p,0.510000,V,5.130000,-6.020000,0.510000,onboard,6,0.005531440,0.013462749,0.000422928,0.000398563,0.037222799
qtp,p,0.520000,V,5.130000,-6.020000,0.520000,onboard,6,0.005471147,0.013455848,0.000409781,0.000397324,0.037303075
qtp,p,0.530000,V,5.130000,-6.020000,0.530000,onboard,6,0.005431222,0.013456712,0.000418639,0.000391383,0.037348893
qtp,p,0.540000,V,5.130000,-6.020000,0.540000,onboard,6,0.005413915,0.013440728,0.000429557,0.000385067,0.037372779
qtp,p,0.550000,V,5.130000,-6.020000,0.550000,onboard,6,0.005426509,0.013439655,0.000414074,0.000378548,0.037425499
qtp,p,0.560000,V,5.130000,-6.020000,0.560000,onboard,6,0.005404138,0.013468355,0.000387140,0.000367184,0.037524715
qtp,p,0.570000,V,5.130000,-6.020000,0.570000,onboard,6,0.005342849,0.013458416,0.000374860,0.000358629,0.037599053
qtp,p,0.580000,V,5.130000,-6.020000,0.580000,onboard,6,0.005288531,0.013444956,0.000406474,0.000355457,0.037639897
qtp,p,0.590000,V,5.130000,-6.020000,0.590000,onboard,6,0.005278168,0.013447641,0.000398643,0.000346334,0.037672412
qtp,p,0.600000,V,5.130000,-6.020000,0.600000,onboard,6,0.005281493,0.013450518,0.000342387,0.000337497,0.037764117
qtp,p,0.610000,V,5.130000,-6.020000,0.610000,onboard,6,0.005259752,0.013466366,0.000366370,0.000330061,0.037844993
