segment_index,segment_state,stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
2,SCAN_Q_MATP,matp,q,-9.000000,V,0.000000,-9.000000,0.000000,onboard,10,0.000000000,0.007708624,0.000000000,0.000000000,0.252571017
2,SCAN_Q_MATP,matp,q,-8.900000,V,0.000000,-8.900000,0.000000,onboard,10,0.000000000,0.012840998,0.000000000,0.000000000,0.224999070
2,SCAN_Q_MATP,matp,q,-8.799999,V,0.000000,-8.799999,0.000000,onboard,10,0.000000000,0.017643079,0.000000000,0.000000000,0.225328058
2,SCAN_Q_MATP,matp,q,-8.699999,V,0.000000,-8.699999,0.000000,onboard,10,0.000000000,0.022812344,0.000000000,0.000000000,0.227197796
2,SCAN_Q_MATP,matp,q,-8.599998,V,0.000000,-8.599998,0.000000,onboard,10,0.000000000,0.028121075,0.000000000,0.000000000,0.229521304
2,SCAN_Q_MATP,matp,q,-8.499998,V,0.000000,-8.499998,0.000000,onboard,10,0.000000000,0.033584125,0.000000000,0.000000000,0.231969878
2,SCAN_Q_MATP,matp,q,-8.399998,V,0.000000,-8.399998,0.000000,onboard,10,0.000000000,0.039323423,0.000000000,0.000000000,0.234708905
2,SCAN_Q_MATP,matp,q,-8.299997,V,0.000000,-8.299997,0.000000,onboard,10,0.000000000,0.045068141,0.000000000,0.000000000,0.237757236
2,SCAN_Q_MATP,matp,q,-8.199997,V,0.000000,-8.199997,0.000000,onboard,10,0.000000000,0.050807275,0.000000000,0.000000000,0.241054386
2,SCAN_Q_MATP,matp,q,-8.099997,V,0.000000,-8.099997,0.000000,onboard,10,0.000000000,0.056933589,0.000000000,0.000000000,0.244601056
2,SCAN_Q_MATP,matp,q,-7.999997,V,0.000000,-7.999997,0.000000,onboard,10,0.000000000,0.062943310,0.000000000,0.000000000,0.248510867
2,SCAN_Q_MATP,matp,q,-7.899997,V,0.000000,-7.899997,0.000000,onboard,10,0.000000000,0.068880580,0.000000000,0.000000000,0.252816617
2,SCAN_Q_MATP,matp,q,-7.799997,V,0.000000,-7.799997,0.000000,onboard,10,0.000000000,0.075225964,0.000000000,0.000000000,0.257328063
2,SCAN_Q_MATP,matp,q,-7.699997,V,0.000000,-7.699997,0.000000,onboard,10,0.000000000,0.081455305,0.000000000,0.000000000,0.262102008
2,SCAN_Q_MATP,matp,q,-7.599997,V,0.000000,-7.599997,0.000000,onboard,10,0.000000000,0.087731600,0.000000000,0.000000000,0.267302841
2,SCAN_Q_MATP,matp,q,-7.499997,V,0.000000,-7.499997,0.000000,onboard,10,0.000000000,0.093994632,0.000000000,0.000000000,0.272850573
2,SCAN_Q_MATP,matp,q,-7.399997,V,0.000000,-7.399997,0.000000,onboard,10,0.000000000,0.100172304,0.000000000,0.000000000,0.278563321
2,SCAN_Q_MATP,matp,q,-7.299997,V,0.000000,-7.299997,0.000000,onboard,10,0.000000000,0.106717564,0.000000000,0.000000000,0.285051107
2,SCAN_Q_MATP,matp,q,-7.199997,V,0.000000,-7.199997,0.000000,onboard,10,0.000000000,0.112947263,0.000000000,0.000000000,0.291488111
2,SCAN_Q_MATP,matp,q,-7.099998,V,0.000000,-7.099998,0.000000,onboard,10,0.000000000,0.119047895,0.000000000,0.000000000,0.298268378
2,SCAN_Q_MATP,matp,q,-6.999998,V,0.000000,-6.999998,0.000000,onboard,10,0.000000000,0.125738055,0.000000000,0.000000000,0.305630952
2,SCAN_Q_MATP,matp,q,-6.899998,V,0.000000,-6.899998,0.000000,onboard,10,0.000000000,0.131908596,0.000000000,0.000000000,0.313253969
2,SCAN_Q_MATP,matp,q,-6.799998,V,0.000000,-6.799998,0.000000,onboard,10,0.000000000,0.137917966,0.000000000,0.000000000,0.321031153
2,SCAN_Q_MATP,matp,q,-6.699998,V,0.000000,-6.699998,0.000000,onboard,10,0.000000000,0.144589141,0.000000000,0.000000000,0.329416722
2,SCAN_Q_MATP,matp,q,-6.599998,V,0.000000,-6.599998,0.000000,onboard,10,0.000000000,0.150823027,0.000000000,0.000000000,0.338147104
2,SCAN_Q_MATP,matp,q,-6.499998,V,0.000000,-6.499998,0.000000,onboard,10,0.000000000,0.156921029,0.000000000,0.000000000,0.347090155
2,SCAN_Q_MATP,matp,q,-6.399998,V,0.000000,-6.399998,0.000000,onboard,10,0.000000000,0.163088903,0.000000000,0.000000000,0.356392086
2,SCAN_Q_MATP,matp,q,-6.299998,V,0.000000,-6.299998,0.000000,onboard,10,0.000000000,0.169106841,0.000000000,0.000000000,0.365767211
