segment_index,segment_state,stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
3,SCAN_P_QTP,qtp,p,-9.000000,V,1.899997,-3.100001,-9.000000,onboard,10,0.000000000,0.000000000,0.000000000,0.000565543,0.230935425
3,SCAN_P_QTP,qtp,p,-8.900000,V,1.899997,-3.100001,-8.900000,onboard,10,0.000000000,0.000000000,0.000000000,0.001080562,0.162733644
3,SCAN_P_QTP,qtp,p,-8.799999,V,1.899997,-3.100001,-8.799999,onboard,10,0.000000000,0.000000000,0.000000000,0.001109176,0.166478157
3,SCAN_P_QTP,qtp,p,-8.699999,V,1.899997,-3.100001,-8.699999,onboard,10,0.000000000,0.000000000,0.000000000,0.001073220,0.175315678
3,SCAN_P_QTP,qtp,p,-8.599998,V,1.899997,-3.100001,-8.599998,onboard,10,0.000000000,0.000000000,0.000000000,0.001048520,0.185150191
3,SCAN_P_QTP,qtp,p,-8.499998,V,1.899997,-3.100001,-8.499998,onboard,10,0.000000000,0.000000000,0.000000000,0.001027366,0.195595995
3,SCAN_P_QTP,qtp,p,-8.399998,V,1.899997,-3.100001,-8.399998,onboard,10,0.000000000,0.000000000,0.000000000,0.000943040,0.206437901
3,SCAN_P_QTP,qtp,p,-8.299997,V,1.899997,-3.100001,-8.299997,onboard,10,0.000000000,0.000000000,0.000000000,0.001005335,0.217279553
3,SCAN_P_QTP,qtp,p,-8.199997,V,1.899997,-3.100001,-8.199997,onboard,10,0.000000000,0.000000000,0.000000000,0.000963814,0.228769735
3,SCAN_P_QTP,qtp,p,-8.099997,V,1.899997,-3.100001,-8.099997,onboard,10,0.000000000,0.000000000,0.000000000,0.000923234,0.240429848
3,SCAN_P_QTP,qtp,p,-7.999997,V,1.899997,-3.100001,-7.999997,onboard,10,0.000000000,0.000000000,0.000000000,0.000894375,0.252411813
3,SCAN_P_QTP,qtp,p,-7.899997,V,1.899997,-3.100001,-7.899997,onboard,10,0.000000000,0.000000000,0.000000000,0.000785263,0.264384717
3,SCAN_P_QTP,qtp,p,-7.799997,V,1.899997,-3.100001,-7.799997,onboard,10,0.000000000,0.000000000,0.000000000,0.000860950,0.276591837
3,SCAN_P_QTP,qtp,p,-7.699997,V,1.899997,-3.100001,-7.699997,onboard,10,0.000000000,0.000000000,0.000000000,0.000830316,0.288954586
3,SCAN_P_QTP,qtp,p,-7.599997,V,1.899997,-3.100001,-7.599997,onboard,10,0.000000000,0.000000000,0.000000000,0.000777716,0.301335156
3,SCAN_P_QTP,qtp,p,-7.499997,V,1.899997,-3.100001,-7.499997,onboard,10,0.000000000,0.000000000,0.000000000,0.000752484,0.314024746
3,SCAN_P_QTP,qtp,p,-7.399997,V,1.899997,-3.100001,-7.399997,onboard,10,0.000000000,0.000000000,0.000000000,0.000599415,0.326725602
3,SCAN_P_QTP,qtp,p,-7.299997,V,1.899997,-3.100001,-7.299997,onboard,10,0.000000000,0.000000000,0.000000000,0.000703337,0.339366227
3,SCAN_P_QTP,qtp,p,-7.199997,V,1.899997,-3.100001,-7.199997,onboard,10,0.000000000,0.000000000,0.000000000,0.000637666,0.352297068
3,SCAN_P_QTP,qtp,p,-7.099998,V,1.899997,-3.100001,-7.099998,onboard,10,0.000000000,0.000000000,0.000000000,0.000612126,0.365023434
3,SCAN_P_QTP,qtp,p,-6.999998,V,1.899997,-3.100001,-6.999998,onboard,10,0.000000000,0.000000000,0.000000000,0.000596583,0.377829581
