segment_index,segment_state,stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
5,SCAN_Q_MITP,mitp,q,-9.000000,V,4.499996,-9.000000,2.799998,onboard,10,0.000000000,0.083711088,0.000000000,0.000000000,0.231904030
5,SCAN_Q_MITP,mitp,q,-8.900000,V,4.499996,-8.900000,2.799998,onboard,10,0.000000000,0.150845766,0.000000000,0.000000000,0.160906032
5,SCAN_Q_MITP,mitp,q,-8.799999,V,4.499996,-8.799999,2.799998,onboard,10,0.000000000,0.148141235,0.000000000,0.000000000,0.150690809
5,SCAN_Q_MITP,mitp,q,-8.699999,V,4.499996,-8.699999,2.799998,onboard,10,0.000000000,0.144718692,0.000000000,0.000000000,0.142859578
5,SCAN_Q_MITP,mitp,q,-8.599998,V,4.499996,-8.599998,2.799998,onboard,10,0.000000000,0.141216934,0.000000000,0.000000000,0.135231197
5,SCAN_Q_MITP,mitp,q,-8.499998,V,4.499996,-8.499998,2.799998,onboard,10,0.000000000,0.137309566,0.000000000,0.000000000,0.127592817
5,SCAN_Q_MITP,mitp,q,-8.399998,V,4.499996,-8.399998,2.799998,onboard,10,0.000000000,0.133784026,0.000000000,0.000000000,0.120108686
5,SCAN_Q_MITP,mitp,q,-8.299997,V,4.499996,-8.299997,2.799998,onboard,10,0.000000000,0.129609853,0.000000000,0.000000000,0.112812594
5,SCAN_Q_MITP,mitp,q,-8.199997,V,4.499996,-8.199997,2.799998,onboard,10,0.000000000,0.125110343,0.000000000,0.000000000,0.105635777
5,SCAN_Q_MITP,mitp,q,-8.099997,V,4.499996,-8.099997,2.799998,onboard,10,0.000000000,0.121115968,0.000000000,0.000000000,0.098694697
5,SCAN_Q_MITP,mitp,q,-7.999997,V,4.499996,-7.999997,2.799998,onboard,10,0.000000000,0.116573334,0.000000000,0.000000000,0.091957785
5,SCAN_Q_MITP,mitp,q,-7.899997,V,4.499996,-7.899997,2.799998,onboard,10,0.000000000,0.111653566,0.000000000,0.000000000,0.085402235
5,SCAN_Q_MITP,mitp,q,-7.799997,V,4.499996,-7.799997,2.799998,onboard,10,0.000000000,0.107257620,0.000000000,0.000000000,0.079075478
5,SCAN_Q_MITP,mitp,q,-7.699997,V,4.499996,-7.699997,2.799998,onboard,10,0.000000000,0.102451861,0.000000000,0.000000000,0.073048182
5,SCAN_Q_MITP,mitp,q,-7.599997,V,4.499996,-7.599997,2.799998,onboard,10,0.000000000,0.097350515,0.000000000,0.000000000,0.067236938
5,SCAN_Q_MITP,mitp,q,-7.499997,V,4.499996,-7.499997,2.799998,onboard,10,0.000000000,0.092394158,0.000000000,0.000000000,0.061699204
5,SCAN_Q_MITP,mitp,q,-7.399997,V,4.499996,-7.399997,2.799998,onboard,10,0.000000000,0.087172583,0.000000000,0.000000000,0.056467365
5,SCAN_Q_MITP,mitp,q,-7.299997,V,4.499996,-7.299997,2.799998,onboard,10,0.000000000,0.082031228,0.000000000,0.000000000,0.051506877
5,SCAN_Q_MITP,mitp,q,-7.199997,V,4.499996,-7.199997,2.799998,onboard,10,0.000000000,0.076753333,0.000000000,0.000000000,0.046823561
5,SCAN_Q_MITP,mitp,q,-7.099998,V,4.499996,-7.099998,2.799998,onboard,10,0.000000000,0.071146943,0.000000000,0.000000000,0.042408891
5,SCAN_Q_MITP,mitp,q,-6.999998,V,4.499996,-6.999998,2.799998,onboard,10,0.000000000,0.065879062,0.000000000,0.000000000,0.038325794
5,SCAN_Q_MITP,mitp,q,-6.899998,V,4.499996,-6.899998,2.799998,onboard,10,0.000000000,0.060445618,0.000000000,0.000000000,0.034558639
5,SCAN_Q_MITP,mitp,q,-6.799998,V,4.499996,-6.799998,2.799998,onboard,10,0.000000000,0.054750931,0.000000000,0.000000000,0.031092498
5,SCAN_Q_MITP,mitp,q,-6.699998,V,4.499996,-6.699998,2.799998,onboard,10,0.000000000,0.049258187,0.000000000,0.000000000,0.027944380
5,SCAN_Q_MITP,mitp,q,-6.599998,V,4.499996,-6.599998,2.799998,onboard,10,0.000000000,0.043692727,0.000000000,0.000000000,0.025129858
5,SCAN_Q_MITP,mitp,q,-6.499998,V,4.499996,-6.499998,2.799998,onboard,10,0.000000000,0.037966497,0.000000000,0.000000000,0.022615716
