segment_index,segment_state,stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
6,FINE_SCAN_P_WIDE,qtp,p,0.799998,V,4.499996,-5.799999,0.799998,onboard,10,0.000000000,0.000000000,0.000000000,0.000605775,0.033379164
6,FINE_SCAN_P_WIDE,qtp,p,0.849998,V,4.499996,-5.799999,0.849998,onboard,10,0.000000000,0.000000000,0.000000000,0.000489142,0.037817203
6,FINE_SCAN_P_WIDE,qtp,p,0.899998,V,4.499996,-5.799999,0.899998,onboard,10,0.000000000,0.000000000,0.000000000,0.000533842,0.036966361
6,FINE_SCAN_P_WIDE,qtp,p,0.949998,V,4.499996,-5.799999,0.949998,onboard,10,0.000000000,0.000000000,0.000000000,0.000421600,0.035992138
6,FINE_SCAN_P_WIDE,qtp,p,0.999998,V,4.499996,-5.799999,0.999998,onboard,10,0.000000000,0.000000000,0.000000000,0.000409752,0.035080552
6,FINE_SCAN_P_WIDE,qtp,p,1.049998,V,4.499996,-5.799999,1.049998,onboard,10,0.000000000,0.000000000,0.000000000,0.000354718,0.034197535
6,FINE_SCAN_P_WIDE,qtp,p,1.099998,V,4.499996,-5.799999,1.099998,onboard,10,0.000000000,0.000000000,0.000000000,0.000329093,0.033357456
6,FINE_SCAN_P_WIDE,qtp,p,1.149997,V,4.499996,-5.799999,1.149997,onboard,10,0.000000000,0.000000000,0.000000000,0.000345873,0.032581598
6,FINE_SCAN_P_WIDE,qtp,p,1.199997,V,4.499996,-5.799999,1.199997,onboard,10,0.000000000,0.000000000,0.000000000,0.000243821,0.031803660
6,FINE_SCAN_P_WIDE,qtp,p,1.249997,V,4.499996,-5.799999,1.249997,onboard,10,0.000000000,0.000000000,0.000000000,0.000236297,0.031038305
6,FINE_SCAN_P_WIDE,qtp,p,1.299997,V,4.499996,-5.799999,1.299997,onboard,10,0.000000000,0.000000000,0.000000000,0.000194330,0.030302012
6,FINE_SCAN_P_WIDE,qtp,p,1.349997,V,4.499996,-5.799999,1.349997,onboard,10,0.000000000,0.000000000,0.000000000,0.000158904,0.029564401
6,FINE_SCAN_P_WIDE,qtp,p,1.399997,V,4.499996,-5.799999,1.399997,onboard,10,0.000000000,0.000000000,0.000000000,0.000170679,0.028855989
6,FINE_SCAN_P_WIDE,qtp,p,1.449997,V,4.499996,-5.799999,1.449997,onboard,10,0.000000000,0.000000000,0.000000000,0.000105163,0.028155129
6,FINE_SCAN_P_WIDE,qtp,p,1.499997,V,4.499996,-5.799999,1.499997,onboard,10,0.000000000,0.000000000,0.000000000,0.000080404,0.027455676
6,FINE_SCAN_P_WIDE,qtp,p,1.549997,V,4.499996,-5.799999,1.549997,onboard,10,0.000000000,0.000000000,0.000000000,0.000085644,0.026790861
6,FINE_SCAN_P_WIDE,qtp,p,1.599997,V,4.499996,-5.799999,1.599997,onboard,10,0.000000000,0.000000000,0.000000000,0.000093616,0.026150471
6,FINE_SCAN_P_WIDE,qtp,p,1.649997,V,4.499996,-5.799999,1.649997,onboard,10,0.000000000,0.000000000,0.000000000,0.000103341,0.025484120
6,FINE_SCAN_P_WIDE,qtp,p,1.699997,V,4.499996,-5.799999,1.699997,onboard,10,0.000000000,0.000000000,0.000000000,0.000147392,0.024849106
6,FINE_SCAN_P_WIDE,qtp,p,1.749997,V,4.499996,-5.799999,1.749997,onboard,10,0.000000000,0.000000000,0.000000000,0.000157768,0.024214139
6,FINE_SCAN_P_WIDE,qtp,p,1.799997,V,4.499996,-5.799999,1.799997,onboard,10,0.000000000,0.000000000,0.000000000,0.000205300,0.023575682
6,FINE_SCAN_P_WIDE,qtp,p,1.849997,V,4.499996,-5.799999,1.849997,onboard,10,0.000000000,0.000000000,0.000000000,0.000252101,0.022987802
6,FINE_SCAN_P_WIDE,qtp,p,1.899997,V,4.499996,-5.799999,1.899997,onboard,10,0.000000000,0.000000000,0.000000000,0.000236917,0.022390375
6,FINE_SCAN_P_WIDE,qtp,p,1.949997,V,4.499996,-5.799999,1.949997,onboard,10,0.000000000,0.000000000,0.000000000,0.000310053,0.021803256
6,FINE_SCAN_P_WIDE,qtp,p,1.999997,V,4.499996,-5.799999,1.999997,onboard,10,0.000000000,0.000000000,0.000000000,0.000335124,0.021205295
6,FINE_SCAN_P_WIDE,qtp,p,2.049997,V,4.499996,-5.799999,2.049997,onboard,10,0.000000000,0.000000000,0.000000000,0.000379274,0.020617526
6,FINE_SCAN_P_WIDE,qtp,p,2.099997,V,4.499996,-5.799999,2.099997,onboard,10,0.000000000,0.000000000,0.000000000,0.000419438,0.020069895
6,FINE_SCAN_P_WIDE,qtp,p,2.149997,V,4.499996,-5.799999,2.149997,onboard,10,0.000000000,0.000000000,0.000000000,0.000424697,0.019514378
