segment_index,segment_state,stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
7,FINE_SCAN_P_FINE,qtp,p,0.899997,V,4.499996,-5.799999,0.899997,onboard,10,0.000000000,0.000000000,0.000000000,0.000528519,0.023488715
7,FINE_SCAN_P_FINE,qtp,p,0.909997,V,4.499996,-5.799999,0.909997,onboard,10,0.000000000,0.000000000,0.000000000,0.000398327,0.029707018
7,FINE_SCAN_P_FINE,qtp,p,0.919997,V,4.499996,-5.799999,0.919997,onboard,10,0.000000000,0.000000000,0.000000000,0.000411167,0.029939499
7,FINE_SCAN_P_FINE,qtp,p,0.929997,V,4.499996,-5.799999,0.929997,onboard,10,0.000000000,0.000000000,0.000000000,0.000398242,0.029891063
7,FINE_SCAN_P_FINE,qtp,p,0.939997,V,4.499996,-5.799999,0.939997,onboard,10,0.000000000,0.000000000,0.000000000,0.000395580,0.029791519
7,FINE_SCAN_P_FINE,qtp,p,0.949997,V,4.499996,-5.799999,0.949997,onboard,10,0.000000000,0.000000000,0.000000000,0.000437242,0.029725879
7,FINE_SCAN_P_FINE,qtp,p,0.959997,V,4.499996,-5.799999,0.959997,onboard,10,0.000000000,0.000000000,0.000000000,0.000372881,0.029620979
7,FINE_SCAN_P_FINE,qtp,p,0.969997,V,4.499996,-5.799999,0.969997,onboard,10,0.000000000,0.000000000,0.000000000,0.000394596,0.029508710
7,FINE_SCAN_P_FINE,qtp,p,0.979997,V,4.499996,-5.799999,0.979997,onboard,10,0.000000000,0.000000000,0.000000000,0.000372834,0.029375890
7,FINE_SCAN_P_FINE,qtp,p,0.989997,V,4.499996,-5.799999,0.989997,onboard,10,0.000000000,0.000000000,0.000000000,0.000366192,0.029288987
7,FINE_SCAN_P_FINE,qtp,p,0.999997,V,4.499996,-5.799999,0.999997,onboard,10,0.000000000,0.000000000,0.000000000,0.000420671,0.029180994
