segment_index,segment_state,stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
8,FINE_SCAN_I_WIDE,mitp,i,2.499996,V,2.499996,-5.799999,1.519997,onboard,10,0.117587268,0.000000000,0.000000000,0.000000000,0.103875235
8,FINE_SCAN_I_WIDE,mitp,i,2.549996,V,2.549996,-5.799999,1.519997,onboard,10,0.132103145,0.000000000,0.000000000,0.000000000,0.128014430
8,FINE_SCAN_I_WIDE,mitp,i,2.599996,V,2.599996,-5.799999,1.519997,onboard,10,0.130806550,0.000000000,0.000000000,0.000000000,0.125984728
8,FINE_SCAN_I_WIDE,mitp,i,2.649996,V,2.649996,-5.799999,1.519997,onboard,10,0.129625857,0.000000000,0.000000000,0.000000000,0.122864380
8,FINE_SCAN_I_WIDE,mitp,i,2.699996,V,2.699996,-5.799999,1.519997,onboard,10,0.128444582,0.000000000,0.000000000,0.000000000,0.119451307
8,FINE_SCAN_I_WIDE,mitp,i,2.749996,V,2.749996,-5.799999,1.519997,onboard,10,0.126808226,0.000000000,0.000000000,0.000000000,0.115957782
8,FINE_SCAN_I_WIDE,mitp,i,2.799996,V,2.799996,-5.799999,1.519997,onboard,10,0.125871867,0.000000000,0.000000000,0.000000000,0.112673022
8,FINE_SCAN_I_WIDE,mitp,i,2.849996,V,2.849996,-5.799999,1.519997,onboard,10,0.124463178,0.000000000,0.000000000,0.000000000,0.109297313
8,FINE_SCAN_I_WIDE,mitp,i,2.899996,V,2.899996,-5.799999,1.519997,onboard,10,0.122569680,0.000000000,0.000000000,0.000000000,0.105860427
8,FINE_SCAN_I_WIDE,mitp,i,2.949996,V,2.949996,-5.799999,1.519997,onboard,10,0.121253595,0.000000000,0.000000000,0.000000000,0.102634944
8,FINE_SCAN_I_WIDE,mitp,i,2.999996,V,2.999996,-5.799999,1.519997,onboard,10,0.119727753,0.000000000,0.000000000,0.000000000,0.099334359
8,FINE_SCAN_I_WIDE,mitp,i,3.049996,V,3.049996,-5.799999,1.519997,onboard,10,0.117890492,0.000000000,0.000000000,0.000000000,0.095991984
8,FINE_SCAN_I_WIDE,mitp,i,3.099996,V,3.099996,-5.799999,1.519997,onboard,10,0.116866663,0.000000000,0.000000000,0.000000000,0.092867725
8,FINE_SCAN_I_WIDE,mitp,i,3.149996,V,3.149996,-5.799999,1.519997,onboard,10,0.115186095,0.000000000,0.000000000,0.000000000,0.089646049
8,FINE_SCAN_I_WIDE,mitp,i,3.199996,V,3.199996,-5.799999,1.519997,onboard,10,0.113100983,0.000000000,0.000000000,0.000000000,0.086472563
8,FINE_SCAN_I_WIDE,mitp,i,3.249995,V,3.249995,-5.799999,1.519997,onboard,10,0.111504532,0.000000000,0.000000000,0.000000000,0.083343737
8,FINE_SCAN_I_WIDE,mitp,i,3.299995,V,3.299995,-5.799999,1.519997,onboard,10,0.109832324,0.000000000,0.000000000,0.000000000,0.080314830
8,FINE_SCAN_I_WIDE,mitp,i,3.349995,V,3.349995,-5.799999,1.519997,onboard,10,0.107886270,0.000000000,0.000000000,0.000000000,0.077301189
8,FINE_SCAN_I_WIDE,mitp,i,3.399995,V,3.399995,-5.799999,1.519997,onboard,10,0.106403746,0.000000000,0.000000000,0.000000000,0.074290730
8,FINE_SCAN_I_WIDE,mitp,i,3.449995,V,3.449995,-5.799999,1.519997,onboard,10,0.104565226,0.000000000,0.000000000,0.000000000,0.071388014
8,FINE_SCAN_I_WIDE,mitp,i,3.499995,V,3.499995,-5.799999,1.519997,onboard,10,0.102397487,0.000000000,0.000000000,0.000000000,0.068522081
8,FINE_SCAN_I_WIDE,mitp,i,3.549995,V,3.549995,-5.799999,1.519997,onboard,10,0.100658759,0.000000000,0.000000000,0.000000000,0.065689698
8,FINE_SCAN_I_WIDE,mitp,i,3.599995,V,3.599995,-5.799999,1.519997,onboard,10,0.098626874,0.000000000,0.000000000,0.000000000,0.062858410
8,FINE_SCAN_I_WIDE,mitp,i,3.649995,V,3.649995,-5.799999,1.519997,onboard,10,0.096769057,0.000000000,0.000000000,0.000000000,0.060053717
8,FINE_SCAN_I_WIDE,mitp,i,3.699995,V,3.699995,-5.799999,1.519997,onboard,10,0.094999388,0.000000000,0.000000000,0.000000000,0.057453163
8,FINE_SCAN_I_WIDE,mitp,i,3.749995,V,3.749995,-5.799999,1.519997,onboard,10,0.092893898,0.000000000,0.000000000,0.000000000,0.054852646
