segment_index,segment_state,stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
9,FINE_SCAN_I_FINE,mitp,i,5.050001,V,5.050001,-5.799999,1.519997,onboard,10,0.028929543,0.000000000,0.000000000,0.000000000,0.008771437
9,FINE_SCAN_I_FINE,mitp,i,5.060001,V,5.060001,-5.799999,1.519997,onboard,10,0.028576504,0.000000000,0.000000000,0.000000000,0.007509551
9,FINE_SCAN_I_FINE,mitp,i,5.070002,V,5.070002,-5.799999,1.519997,onboard,10,0.028127868,0.000000000,0.000000000,0.000000000,0.007343666
9,FINE_SCAN_I_FINE,mitp,i,5.080002,V,5.080002,-5.799999,1.519997,onboard,10,0.027652491,0.000000000,0.000000000,0.000000000,0.007203875
9,FINE_SCAN_I_FINE,mitp,i,5.090002,V,5.090002,-5.799999,1.519997,onboard,10,0.027196612,0.000000000,0.000000000,0.000000000,0.007063628
9,FINE_SCAN_I_FINE,mitp,i,5.100002,V,5.100002,-5.799999,1.519997,onboard,10,0.026779462,0.000000000,0.000000000,0.000000000,0.006913348
9,FINE_SCAN_I_FINE,mitp,i,5.110003,V,5.110003,-5.799999,1.519997,onboard,10,0.026276091,0.000000000,0.000000000,0.000000000,0.006758524
9,FINE_SCAN_I_FINE,mitp,i,5.120003,V,5.120003,-5.799999,1.519997,onboard,10,0.025760341,0.000000000,0.000000000,0.000000000,0.006627941
9,FINE_SCAN_I_FINE,mitp,i,5.130003,V,5.130003,-5.799999,1.519997,onboard,10,0.025230806,0.000000000,0.000000000,0.000000000,0.006497500
9,FINE_SCAN_I_FINE,mitp,i,5.140003,V,5.140003,-5.799999,1.519997,onboard,10,0.024688516,0.000000000,0.000000000,0.000000000,0.006347246
9,FINE_SCAN_I_FINE,mitp,i,5.150003,V,5.150003,-5.799999,1.519997,onboard,10,0.024174381,0.000000000,0.000000000,0.000000000,0.006198124
9,FINE_SCAN_I_FINE,mitp,i,5.160004,V,5.160004,-5.799999,1.519997,onboard,10,0.023618158,0.000000000,0.000000000,0.000000000,0.006045390
9,FINE_SCAN_I_FINE,mitp,i,5.170004,V,5.170004,-5.799999,1.519997,onboard,10,0.023109311,0.000000000,0.000000000,0.000000000,0.005908323
9,FINE_SCAN_I_FINE,mitp,i,5.180004,V,5.180004,-5.799999,1.519997,onboard,10,0.022585966,0.000000000,0.000000000,0.000000000,0.005783775
9,FINE_SCAN_I_FINE,mitp,i,5.190004,V,5.190004,-5.799999,1.519997,onboard,10,0.022053795,0.000000000,0.000000000,0.000000000,0.005658929
9,FINE_SCAN_I_FINE,mitp,i,5.200005,V,5.200005,-5.799999,1.519997,onboard,10,0.021531429,0.000000000,0.000000000,0.000000000,0.005532135
9,FINE_SCAN_I_FINE,mitp,i,5.210005,V,5.210005,-5.799999,1.519997,onboard,10,0.021013202,0.000000000,0.000000000,0.000000000,0.005391396
9,FINE_SCAN_I_FINE,mitp,i,5.220005,V,5.220005,-5.799999,1.519997,onboard,10,0.020458123,0.000000000,0.000000000,0.000000000,0.005255666
