segment_index,segment_state,stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
10,FINE_SCAN_Q_WIDE,mitp,q,-7.799999,V,5.600014,-7.799999,1.519997,onboard,10,0.000000000,0.074971393,0.000000000,0.000000000,0.025732461
10,FINE_SCAN_Q_WIDE,mitp,q,-7.749999,V,5.600014,-7.749999,1.519997,onboard,10,0.000000000,0.073097728,0.000000000,0.000000000,0.029333588
10,FINE_SCAN_Q_WIDE,mitp,q,-7.699998,V,5.600014,-7.699998,1.519997,onboard,10,0.000000000,0.071039602,0.000000000,0.000000000,0.027608361
10,FINE_SCAN_Q_WIDE,mitp,q,-7.649998,V,5.600014,-7.649998,1.519997,onboard,10,0.000000000,0.068735376,0.000000000,0.000000000,0.025667196
10,FINE_SCAN_Q_WIDE,mitp,q,-7.599998,V,5.600014,-7.599998,1.519997,onboard,10,0.000000000,0.066417001,0.000000000,0.000000000,0.023731263
10,FINE_SCAN_Q_WIDE,mitp,q,-7.549998,V,5.600014,-7.549998,1.519997,onboard,10,0.000000000,0.064158320,0.000000000,0.000000000,0.021869451
10,FINE_SCAN_Q_WIDE,mitp,q,-7.499998,V,5.600014,-7.499998,1.519997,onboard,10,0.000000000,0.061736137,0.000000000,0.000000000,0.020051142
10,FINE_SCAN_Q_WIDE,mitp,q,-7.449997,V,5.600014,-7.449997,1.519997,onboard,10,0.000000000,0.059279941,0.000000000,0.000000000,0.018296115
10,FINE_SCAN_Q_WIDE,mitp,q,-7.399997,V,5.600014,-7.399997,1.519997,onboard,10,0.000000000,0.056762867,0.000000000,0.000000000,0.016612163
10,FINE_SCAN_Q_WIDE,mitp,q,-7.349997,V,5.600014,-7.349997,1.519997,onboard,10,0.000000000,0.054299392,0.000000000,0.000000000,0.014967101
10,FINE_SCAN_Q_WIDE,mitp,q,-7.299997,V,5.600014,-7.299997,1.519997,onboard,10,0.000000000,0.051817738,0.000000000,0.000000000,0.013424536
10,FINE_SCAN_Q_WIDE,mitp,q,-7.249997,V,5.600014,-7.249997,1.519997,onboard,10,0.000000000,0.049277902,0.000000000,0.000000000,0.011957461
10,FINE_SCAN_Q_WIDE,mitp,q,-7.199996,V,5.600014,-7.199996,1.519997,onboard,10,0.000000000,0.046787944,0.000000000,0.000000000,0.010551939
10,FINE_SCAN_Q_WIDE,mitp,q,-7.149996,V,5.600014,-7.149996,1.519997,onboard,10,0.000000000,0.044180617,0.000000000,0.000000000,0.009202549
10,FINE_SCAN_Q_WIDE,mitp,q,-7.099996,V,5.600014,-7.099996,1.519997,onboard,10,0.000000000,0.041575238,0.000000000,0.000000000,0.007940557
10,FINE_SCAN_Q_WIDE,mitp,q,-7.049996,V,5.600014,-7.049996,1.519997,onboard,10,0.000000000,0.039080653,0.000000000,0.000000000,0.006737481
10,FINE_SCAN_Q_WIDE,mitp,q,-6.999996,V,5.600014,-6.999996,1.519997,onboard,10,0.000000000,0.036441784,0.000000000,0.000000000,0.005592302
10,FINE_SCAN_Q_WIDE,mitp,q,-6.949996,V,5.600014,-6.949996,1.519997,onboard,10,0.000000000,0.033790193,0.000000000,0.000000000,0.004548619
10,FINE_SCAN_Q_WIDE,mitp,q,-6.899995,V,5.600014,-6.899995,1.519997,onboard,10,0.000000000,0.031238154,0.000000000,0.000000000,0.003585725
10,FINE_SCAN_Q_WIDE,mitp,q,-6.849995,V,5.600014,-6.849995,1.519997,onboard,10,0.000000000,0.028586363,0.000000000,0.000000000,0.002691387
10,FINE_SCAN_Q_WIDE,mitp,q,-6.799995,V,5.600014,-6.799995,1.519997,onboard,10,0.000000000,0.025884677,0.000000000,0.000000000,0.001873947
10,FINE_SCAN_Q_WIDE,mitp,q,-6.749995,V,5.600014,-6.749995,1.519997,onboard,10,0.000000000,0.023283932,0.000000000,0.000000000,0.001130961
10,FINE_SCAN_Q_WIDE,mitp,q,-6.699995,V,5.600014,-6.699995,1.519997,onboard,10,0.000000000,0.020595510,0.000000000,0.000000000,0.000470828
10,FINE_SCAN_Q_WIDE,mitp,q,-6.649994,V,5.600014,-6.649994,1.519997,onboard,10,0.000000000,0.017883908,0.000000000,0.000000000,-0.000122105
