segment_index,segment_state,stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
11,FINE_SCAN_Q_FINE,mitp,q,-6.899993,V,5.600014,-6.899993,1.519997,onboard,10,0.000000000,0.029094860,0.000000000,0.000000000,0.022912007
11,FINE_SCAN_Q_FINE,mitp,q,-6.889993,V,5.600014,-6.889993,1.519997,onboard,10,0.000000000,0.029504597,0.000000000,0.000000000,0.003708705
11,FINE_SCAN_Q_FINE,mitp,q,-6.879992,V,5.600014,-6.879992,1.519997,onboard,10,0.000000000,0.029266868,0.000000000,0.000000000,0.002847527
11,FINE_SCAN_Q_FINE,mitp,q,-6.869992,V,5.600014,-6.869992,1.519997,onboard,10,0.000000000,0.028899569,0.000000000,0.000000000,0.002663436
11,FINE_SCAN_Q_FINE,mitp,q,-6.859992,V,5.600014,-6.859992,1.519997,onboard,10,0.000000000,0.028516719,0.000000000,0.000000000,0.002515425
11,FINE_SCAN_Q_FINE,mitp,q,-6.849992,V,5.600014,-6.849992,1.519997,onboard,10,0.000000000,0.028054718,0.000000000,0.000000000,0.002362162
11,FINE_SCAN_Q_FINE,mitp,q,-6.839992,V,5.600014,-6.839992,1.519997,onboard,10,0.000000000,0.027653292,0.000000000,0.000000000,0.002224726
11,FINE_SCAN_Q_FINE,mitp,q,-6.829991,V,5.600014,-6.829991,1.519997,onboard,10,0.000000000,0.027194012,0.000000000,0.000000000,0.002085114
11,FINE_SCAN_Q_FINE,mitp,q,-6.819991,V,5.600014,-6.819991,1.519997,onboard,10,0.000000000,0.026713923,0.000000000,0.000000000,0.001946507
11,FINE_SCAN_Q_FINE,mitp,q,-6.809991,V,5.600014,-6.809991,1.519997,onboard,10,0.000000000,0.026210135,0.000000000,0.000000000,0.001809486
11,FINE_SCAN_Q_FINE,mitp,q,-6.799991,V,5.600014,-6.799991,1.519997,onboard,10,0.000000000,0.025737127,0.000000000,0.000000000,0.001676831
11,FINE_SCAN_Q_FINE,mitp,q,-6.789990,V,5.600014,-6.789990,1.519997,onboard,10,0.000000000,0.025282294,0.000000000,0.000000000,0.001537188
11,FINE_SCAN_Q_FINE,mitp,q,-6.779990,V,5.600014,-6.779990,1.519997,onboard,10,0.000000000,0.024817429,0.000000000,0.000000000,0.001393712
11,FINE_SCAN_Q_FINE,mitp,q,-6.769990,V,5.600014,-6.769990,1.519997,onboard,10,0.000000000,0.024377154,0.000000000,0.000000000,0.001251148
11,FINE_SCAN_Q_FINE,mitp,q,-6.759990,V,5.600014,-6.759990,1.519997,onboard,10,0.000000000,0.023879454,0.000000000,0.000000000,0.001108983
11,FINE_SCAN_Q_FINE,mitp,q,-6.749990,V,5.600014,-6.749990,1.519997,onboard,10,0.000000000,0.023383405,0.000000000,0.000000000,0.000978948
11,FINE_SCAN_Q_FINE,mitp,q,-6.739989,V,5.600014,-6.739989,1.519997,onboard,10,0.000000000,0.022882560,0.000000000,0.000000000,0.000856821
11,FINE_SCAN_Q_FINE,mitp,q,-6.729989,V,5.600014,-6.729989,1.519997,onboard,10,0.000000000,0.022351677,0.000000000,0.000000000,0.000734697
11,FINE_SCAN_Q_FINE,mitp,q,-6.719989,V,5.600014,-6.719989,1.519997,onboard,10,0.000000000,0.021857912,0.000000000,0.000000000,0.000616301
11,FINE_SCAN_Q_FINE,mitp,q,-6.709989,V,5.600014,-6.709989,1.519997,onboard,10,0.000000000,0.021367012,0.000000000,0.000000000,0.000497543
11,FINE_SCAN_Q_FINE,mitp,q,-6.699988,V,5.600014,-6.699988,1.519997,onboard,10,0.000000000,0.020844376,0.000000000,0.000000000,0.000379848
11,FINE_SCAN_Q_FINE,mitp,q,-6.689988,V,5.600014,-6.689988,1.519997,onboard,10,0.000000000,0.020338323,0.000000000,0.000000000,0.000267245
11,FINE_SCAN_Q_FINE,mitp,q,-6.679988,V,5.600014,-6.679988,1.519997,onboard,10,0.000000000,0.019823432,0.000000000,0.000000000,0.000153818
11,FINE_SCAN_Q_FINE,mitp,q,-6.669988,V,5.600014,-6.669988,1.519997,onboard,10,0.000000000,0.019315910,0.000000000,0.000000000,0.000033851
11,FINE_SCAN_Q_FINE,mitp,q,-6.659987,V,5.600014,-6.659987,1.519997,onboard,10,0.000000000,0.018791357,0.000000000,0.000000000,-0.000072368
11,FINE_SCAN_Q_FINE,mitp,q,-6.649987,V,5.600014,-6.649987,1.519997,onboard,10,0.000000000,0.018262047,0.000000000,0.000000000,-0.000199969
11,FINE_SCAN_Q_FINE,mitp,q,-6.639987,V,5.600014,-6.639987,1.519997,onboard,10,0.000000000,0.017752808,0.000000000,0.000000000,-0.000287849
11,FINE_SCAN_Q_FINE,mitp,q,-6.629987,V,5.600014,-6.629987,1.519997,onboard,10,0.000000000,0.017255774,0.000000000,0.000000000,-0.000381860
11,FINE_SCAN_Q_FINE,mitp,q,-6.619987,V,5.600014,-6.619987,1.519997,onboard,10,0.000000000,0.016765077,0.000000000,0.000000000,-0.000479815
11,FINE_SCAN_Q_FINE,mitp,q,-6.609986,V,5.600014,-6.609986,1.519997,onboard,10,0.000000000,0.016268320,0.000000000,0.000000000,-0.000588506
11,FINE_SCAN_Q_FINE,mitp,q,-6.599986,V,5.600014,-6.599986,1.519997,onboard,10,0.000000000,0.015750190,0.000000000,0.000000000,-0.000700123
11,FINE_SCAN_Q_FINE,mitp,q,-6.589986,V,5.600014,-6.589986,1.519997,onboard,10,0.000000000,0.015226193,0.000000000,0.000000000,-0.000804358
11,FINE_SCAN_Q_FINE,mitp,q,-6.579986,V,5.600014,-6.579986,1.519997,onboard,10,0.000000000,0.014694427,0.000000000,0.000000000,-0.000895992
11,FINE_SCAN_Q_FINE,mitp,q,-6.569985,V,5.600014,-6.569985,1.519997,onboard,10,0.000000000,0.014171325,0.000000000,0.000000000,-0.000977422
11,FINE_SCAN_Q_FINE,mitp,q,-6.559985,V,5.600014,-6.559985,1.519997,onboard,10,0.000000000,0.013640657,0.000000000,0.000000000,-0.001056933
11,FINE_SCAN_Q_FINE,mitp,q,-6.549985,V,5.600014,-6.549985,1.519997,onboard,10,0.000000000,0.013107657,0.000000000,0.000000000,-0.001131125
11,FINE_SCAN_Q_FINE,mitp,q,-6.539985,V,5.600014,-6.539985,1.519997,onboard,10,0.000000000,0.012586126,0.000000000,0.000000000,-0.001198616
11,FINE_SCAN_Q_FINE,mitp,q,-6.529984,V,5.600014,-6.529984,1.519997,onboard,10,0.000000000,0.012062483,0.000000000,0.000000000,-0.001256425
11,FINE_SCAN_Q_FINE,mitp,q,-6.519984,V,5.600014,-6.519984,1.519997,onboard,10,0.000000000,0.011531050,0.000000000,0.000000000,-0.001313296
11,FINE_SCAN_Q_FINE,mitp,q,-6.509984,V,5.600014,-6.509984,1.519997,onboard,10,0.000000000,0.011009578,0.000000000,0.000000000,-0.001373514
11,FINE_SCAN_Q_FINE,mitp,q,-6.499984,V,5.600014,-6.499984,1.519997,onboard,10,0.000000000,0.010471455,0.000000000,0.000000000,-0.001428035
11,FINE_SCAN_Q_FINE,mitp,q,-6.489984,V,5.600014,-6.489984,1.519997,onboard,10,0.000000000,0.009939024,0.000000000,0.000000000,-0.001486658
11,FINE_SCAN_Q_FINE,mitp,q,-6.479983,V,5.600014,-6.479983,1.519997,onboard,10,0.000000000,0.009423064,0.000000000,0.000000000,-0.001542390
11,FINE_SCAN_Q_FINE,mitp,q,-6.469983,V,5.600014,-6.469983,1.519997,onboard,10,0.000000000,0.008924747,0.000000000,0.000000000,-0.001595829
11,FINE_SCAN_Q_FINE,mitp,q,-6.459983,V,5.600014,-6.459983,1.519997,onboard,10,0.000000000,0.008411854,0.000000000,0.000000000,-0.001648528
11,FINE_SCAN_Q_FINE,mitp,q,-6.449983,V,5.600014,-6.449983,1.519997,onboard,10,0.000000000,0.007884679,0.000000000,0.000000000,-0.001706555
11,FINE_SCAN_Q_FINE,mitp,q,-6.439982,V,5.600014,-6.439982,1.519997,onboard,10,0.000000000,0.007355915,0.000000000,0.000000000,-0.001759216
11,FINE_SCAN_Q_FINE,mitp,q,-6.429982,V,5.600014,-6.429982,1.519997,onboard,10,0.000000000,0.006822945,0.000000000,0.000000000,-0.001799349
11,FINE_SCAN_Q_FINE,mitp,q,-6.419982,V,5.600014,-6.419982,1.519997,onboard,10,0.000000000,0.006285879,0.000000000,0.000000000,-0.001833469
11,FINE_SCAN_Q_FINE,mitp,q,-6.409982,V,5.600014,-6.409982,1.519997,onboard,10,0.000000000,0.005756453,0.000000000,0.000000000,-0.001858638
11,FINE_SCAN_Q_FINE,mitp,q,-6.399981,V,5.600014,-6.399981,1.519997,onboard,10,0.000000000,0.005214811,0.000000000,0.000000000,-0.001881982
11,FINE_SCAN_Q_FINE,mitp,q,-6.389981,V,5.600014,-6.389981,1.519997,onboard,10,0.000000000,0.004685816,0.000000000,0.000000000,-0.001914677
11,FINE_SCAN_Q_FINE,mitp,q,-6.379981,V,5.600014,-6.379981,1.519997,onboard,10,0.000000000,0.004147054,0.000000000,0.000000000,-0.001956419
11,FINE_SCAN_Q_FINE,mitp,q,-6.369981,V,5.600014,-6.369981,1.519997,onboard,10,0.000000000,0.003614893,0.000000000,0.000000000,-0.001986568
11,FINE_SCAN_Q_FINE,mitp,q,-6.359981,V,5.600014,-6.359981,1.519997,onboard,10,0.000000000,0.003077750,0.000000000,0.000000000,-0.001999707
11,FINE_SCAN_Q_FINE,mitp,q,-6.349980,V,5.600014,-6.349980,1.519997,onboard,10,0.000000000,0.002551092,0.000000000,0.000000000,-0.002020997
11,FINE_SCAN_Q_FINE,mitp,q,-6.339980,V,5.600014,-6.339980,1.519997,onboard,10,0.000000000,0.002027742,0.000000000,0.000000000,-0.002042926
11,FINE_SCAN_Q_FINE,mitp,q,-6.329980,V,5.600014,-6.329980,1.519997,onboard,10,0.000000000,0.001508576,0.000000000,0.000000000,-0.002052503
11,FINE_SCAN_Q_FINE,mitp,q,-6.319980,V,5.600014,-6.319980,1.519997,onboard,10,0.000000000,0.000988032,0.000000000,0.000000000,-0.002049519
11,FINE_SCAN_Q_FINE,mitp,q,-6.309979,V,5.600014,-6.309979,1.519997,onboard,10,0.000000000,0.000463420,0.000000000,0.000000000,-0.002043613
11,FINE_SCAN_Q_FINE,mitp,q,-6.299979,V,5.600014,-6.299979,1.519997,onboard,10,0.000000000,0.000061044,0.000000000,0.000000000,-0.002032751
11,FINE_SCAN_Q_FINE,mitp,q,-6.289979,V,5.600014,-6.289979,1.519997,onboard,10,0.000000000,0.000591487,0.000000000,0.000000000,-0.002047654
11,FINE_SCAN_Q_FINE,mitp,q,-6.279979,V,5.600014,-6.279979,1.519997,onboard,10,0.000000000,0.001127122,0.000000000,0.000000000,-0.002043118
11,FINE_SCAN_Q_FINE,mitp,q,-6.269979,V,5.600014,-6.269979,1.519997,onboard,10,0.000000000,0.001660082,0.000000000,0.000000000,-0.002029604
11,FINE_SCAN_Q_FINE,mitp,q,-6.259978,V,5.600014,-6.259978,1.519997,onboard,10,0.000000000,0.002200862,0.000000000,0.000000000,-0.002029901
11,FINE_SCAN_Q_FINE,mitp,q,-6.249978,V,5.600014,-6.249978,1.519997,onboard,10,0.000000000,0.002739905,0.000000000,0.000000000,-0.002019317
11,FINE_SCAN_Q_FINE,mitp,q,-6.239978,V,5.600014,-6.239978,1.519997,onboard,10,0.000000000,0.003289857,0.000000000,0.000000000,-0.001997312
11,FINE_SCAN_Q_FINE,mitp,q,-6.229978,V,5.600014,-6.229978,1.519997,onboard,10,0.000000000,0.003831882,0.000000000,0.000000000,-0.001969209
11,FINE_SCAN_Q_FINE,mitp,q,-6.219977,V,5.600014,-6.219977,1.519997,onboard,10,0.000000000,0.004376763,0.000000000,0.000000000,-0.001958937
11,FINE_SCAN_Q_FINE,mitp,q,-6.209977,V,5.600014,-6.209977,1.519997,onboard,10,0.000000000,0.004912531,0.000000000,0.000000000,-0.001951890
11,FINE_SCAN_Q_FINE,mitp,q,-6.199977,V,5.600014,-6.199977,1.519997,onboard,10,0.000000000,0.005443768,0.000000000,0.000000000,-0.001919297
11,FINE_SCAN_Q_FINE,mitp,q,-6.189977,V,5.600014,-6.189977,1.519997,onboard,10,0.000000000,0.005976493,0.000000000,0.000000000,-0.001881487
